Fever,Cough,Headache,Vomiting,Fatigue,BodyPain,Cold,ChestPain,BreathingProblem,Disease
1,1,1,0,1,1,1,0,0,Flu
1,0,1,1,1,1,0,0,0,Viral Fever
0,1,0,0,0,0,1,0,0,Cold
0,0,1,0,1,0,0,0,0,Migraine
1,1,0,0,1,1,0,1,1,Pneumonia
1,1,1,1,1,1,0,0,0,Dengue
0,0,0,1,1,0,0,0,0,Food Poisoning
1,0,0,1,1,1,0,0,0,Typhoid
0,1,0,0,0,0,1,1,1,Asthma
0,0,1,0,0,0,0,1,1,Heart Disease
1,1,1,0,1,0,1,0,0,Common Infection
1,0,1,0,1,1,0,0,0,Fever
0,1,1,0,1,0,1,0,0,Sinusitis
1,1,0,1,1,1,0,0,0,Malaria
0,0,0,0,1,1,0,0,0,Muscle Pain
