Movie,Genre,Description
Avengers,Action,Superheroes save the world with action and battles
Batman,Action,Dark superhero fights crime in Gotham city
Spider-Man,Action,Teen superhero with spider powers fights villains
Iron Man,Action,Genius billionaire superhero with advanced technology
John Wick,Action,Assassin seeks revenge with intense action
Titanic,Romance,A tragic love story on a sinking ship
The Notebook,Romance,A romantic emotional love story
La La Land,Romance,A musical romantic journey of dreams and love
Frozen,Animation,Princesses with magical powers and adventure
Toy Story,Animation,Toys come alive and go on adventures
Finding Nemo,Animation,A fish searches for family in the ocean
Interstellar,Sci-Fi,A space exploration journey through galaxies
Inception,Sci-Fi,A mind bending dream science thriller
The Matrix,Sci-Fi,A virtual reality futuristic science story
Avatar,Sci-Fi,A human explores an alien world
Conjuring,Horror,A paranormal haunted house horror story
Insidious,Horror,A supernatural horror with evil spirits
Annabelle,Horror,A haunted doll creates terror
The Nun,Horror,A demonic nun horror story
Joker,Drama,A psychological story of a troubled man
Forrest Gump,Drama,Inspirational life journey of a kind man
The Pursuit of Happyness,Drama,A motivational struggle to success story
